Phylum,Common name,Brooders/Spawniers,Family,Taxa,Species, pH.experim ,Perc.Fertilization,Insemination.mins,Fert.success.mins,Sperm.pre-exp-time,egg.pre-exp.time,pH.control,pH.delta,pH.category,Sperm.per.uL,Sperm.per.mL,sperm:egg,n.females,n.males,Other,Data source,Notes/other treat,DOI,Author,Yeear
Echinodermata,Sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.9,97.5,15,120,0,20,8.2,-0.3,,1000000,1000,NA,2,2,4,Engauge Digitizer,20ºC,https://doi.org/10.1098/rspb.2008.1935,Byrne,2009
Echinodermata,Sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.9,93.3,15,120,0,20,8.2,-0.3,,1000000,1000,NA,2,2,4,Engauge Digitizer,24ºC,https://doi.org/10.1098/rspb.2008.1935,Byrne,2009
Echinodermata,Sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.9,91.4,15,120,0,20,8.2,-0.3,,1000000,1000,NA,2,2,4,Engauge Digitizer,26ºC,https://doi.org/10.1098/rspb.2008.1935,Byrne,2009
Echinodermata,Sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.2,95.9,15,120,0,20,8.2,0,,1000000,1000,NA,2,2,4,Engauge Digitizer,20ºC,https://doi.org/10.1098/rspb.2008.1935,Byrne,2009
Echinodermata,Sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.2,92.1,15,120,0,20,8.2,0,,1000000,1000,NA,2,2,4,Engauge Digitizer,24ºC,https://doi.org/10.1098/rspb.2008.1935,Byrne,2009
Echinodermata,Sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.2,95.6,15,120,0,20,8.2,0,,1000000,1000,NA,2,2,4,Engauge Digitizer,26ºC,https://doi.org/10.1098/rspb.2008.1935,Byrne,2009
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus franciscanus,7.36,56,20,20,0,10,8,-0.64,,5,5000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus franciscanus,7.44,61,20,20,0,10,8,-0.56,,5,5000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus franciscanus,7.54,70,20,20,0,10,8,-0.46,,5,5000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus franciscanus,7.61,72,20,20,0,10,8,-0.39,,5,5000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus franciscanus,7.69,76,20,20,0,10,8,-0.31,,5,5000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus franciscanus,7.78,81,20,20,0,10,8,-0.22,,5,5000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus franciscanus,7.84,82,20,20,0,10,8,-0.16,,5,5000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus franciscanus,7.94,88,20,20,0,10,8,-0.06,,5,5000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus franciscanus,8,100,20,20,0,10,8,0,,5,5000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.26,40,20,20,0,10,7.95,-0.69,,10,10000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.38,87,20,20,0,10,7.95,-0.57,,10,10000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.46,92,20,20,0,10,7.95,-0.49,,10,10000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.54,94,20,20,0,10,7.95,-0.41,,10,10000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.62,96,20,20,0,10,7.95,-0.33,,10,10000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.72,100,20,20,0,10,7.95,-0.23,,10,10000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,Sea urchin,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.8,98,20,20,0,10,7.95,-0.15,,10,10000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.88,99,20,20,0,10,7.95,-0.07,,10,10000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.95,98,20,20,0,10,7.95,0,,10,10000,NA,2,2,,Engauge Digitizer,% fert is relative to something,https://doi.org/10.1086/BBLv226n1p1,Frieder,2014
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,7,1,120,120,0,20,8.16,-1.16,,,NA,4,3,5,,Engauge Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,7,2,120,120,0,20,8.16,-1.16,,,NA,40,3,5,,Engauge Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,7,8,120,120,0,20,8.16,-1.16,,,NA,400,3,5,,Engauge Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,7,23,120,120,0,20,8.16,-1.16,,,NA,4000,3,5,,Engauge Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,7.6,98.37,120,120,0,20,8.16,-0.56,,4.93,NA,4,3,5,,Engauge Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,7.6,2,120,120,0,20,8.16,-0.56,,,NA,40,3,5,,Engauge Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,7.6,12,120,120,0,20,8.16,-0.56,,,NA,400,3,5,,Engauge Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,7.6,55,120,120,0,20,8.16,-0.56,,,NA,4000,3,5,,Engauge Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,7.8,87.25,120,120,0,20,8.16,-0.36,,7.51,NA,4,3,5,,Engauge Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,7.8,3,120,120,0,20,8.16,-0.36,,,NA,40,3,5,,Engauge Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,7.8,19,120,120,0,20,8.16,-0.36,,,NA,400,3,5,,Engauge Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,7.8,58,120,120,0,20,8.16,-0.36,,,NA,4000,3,5,,Engauge Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,8.16,86.77,120,120,0,20,8.16,0,,5.4,NA,4,3,5,,Web Plot Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,8.16,21,120,120,0,20,8.16,0,,,NA,40,3,5,,Web Plot Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,8.16,47,120,120,0,20,8.16,0,,,NA,400,3,5,,Web Plot Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Arachnoides,Sand dollar,Arachnoides placenta,8.16,84,120,120,0,20,8.16,0,,,NA,4000,3,5,,Web Plot Digitizer,,https://doi.org/10.1007/s00227-012-2034-2,Gonzalez-Bernat-A,2013
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,7,5,1020,1020,0,25,8.09,-1.09,,2200000,2200,35,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,2013
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,7,44,1020,1020,0,25,8.09,-1.09,,95000000,95000,1500,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,2013
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,7,90,1020,1020,0,25,8.09,-1.09,,350000000,350000,5600,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,2013
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,7.6,60,1020,1020,0,25,8.09,-0.49,,2200000,2200,35,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,2013
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,7.6,95,1020,1020,0,25,8.09,-0.49,,95000000,95000,1500,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,2013
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,7.6,94,1020,1020,0,25,8.09,-0.49,,350000000,350000,5600,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,2013
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,7.8,61,1020,1020,0,25,8.09,-0.29,,2200000,2200,35,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,2013
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,7.8,93,1020,1020,0,25,8.09,-0.29,,95000000,95000,1500,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,2013
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,7.8,96,1020,1020,0,25,8.09,-0.29,,350000000,350000,5600,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,2013
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,8.09,90,1020,1020,0,25,8.09,0,,2200000,2200,35,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,2013
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,8.09,98,1020,1020,0,25,8.09,0,,95000000,95000,1500,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,2013
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,8.09,98,1020,1020,0,25,8.09,0,,350000000,350000,5600,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,2013
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,7,19,1020,1020,0,25,8.09,-1.09,,22000000,22000,350,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,7.6,81,1020,1020,0,25,8.09,-0.49,,22000000,22000,350,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,7.8,89,1020,1020,0,25,8.09,-0.29,,22000000,22000,350,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,
Echinodermata,,Spawners,Odontaster,Sea star,Odontaster validus,8.09,95,1020,1020,0,25,8.09,0,,22000000,22000,350,5,3,,Engauge Digitizer,,https://doi.org/10.1007/s00300-012-1255-7,Gonzalez-Bernat-B,
Echinodermata,,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.7,50.7,30,240,0,30,8.1,-0.4,,NA,NA,NA,NA,5,,Supplement,,https://doi.org/10.1016/j.cub.2008.06.015,Havenhand,2008
Echinodermata,,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.1,62,30,240,0,30,8.1,0,,NA,NA,NA,NA,5,,Supplement,,https://doi.org/10.1016/j.cub.2008.06.015,Havenhand,2008
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.61,58.14887167,0.5,240,4.5,10,8.03,-0.42,,5.2152,5215.2,NA,1,1,,Web Plot Digitizer,BMR,https://doi.org/10.1002/ece3.2776,Kapsenberg,2017
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.61,71.67868333,0.5,240,4.5,10,8.03,-0.42,,5.375154444,5375.154444,NA,1,1,,Web Plot Digitizer,SB,https://doi.org/10.1002/ece3.2776,Kapsenberg,2017
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.76,70.96774182,0.5,240,4.5,10,8.03,-0.27,,6.811379091,6811.379091,NA,1,1,,Web Plot Digitizer,BMR,https://doi.org/10.1002/ece3.2776,Kapsenberg,2017
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.76,59.88269818,0.5,240,4.5,10,8.03,-0.27,,5.892679091,5892.679091,NA,1,1,,Web Plot Digitizer,FC,https://doi.org/10.1002/ece3.2776,Kapsenberg,2017
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.76,77.3790325,0.5,240,4.5,10,8.03,-0.27,,7.69963125,7699.63125,NA,1,1,,Web Plot Digitizer,SB,https://doi.org/10.1002/ece3.2776,Kapsenberg,2017
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,7.87,61.23583333,0.5,240,4.5,10,8.03,-0.16,,5.3325,5332.5,NA,1,1,,Web Plot Digitizer,FC,https://doi.org/10.1002/ece3.2776,Kapsenberg,2017
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,8.03,56.54818182,0.5,240,4.5,10,8.03,0,,5.490909091,5490.909091,NA,1,1,,Web Plot Digitizer,BMR,https://doi.org/10.1002/ece3.2776,Kapsenberg,2017
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,8.03,70.45666667,0.5,240,4.5,10,8.03,0,,5.812222222,5812.222222,NA,1,1,0,Web Plot Digitizer,FC,https://doi.org/10.1002/ece3.2776,Kapsenberg,2017
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus purpuratus,8.03,57.61,0.5,240,4.5,10,8.03,0,,3.79,3790,NA,1,1,,Web Plot Digitizer,SB,https://doi.org/10.1002/ece3.2776,Kapsenberg,2017
Echinodermata,,Spawners,Echinometra,Sea urchin,Echinometra mathaei,6.83,7,20,NA,NA,NA,8.01,-1.18,,,,,,,,Engauge Digitizer,,doi.org/10.3354/meps274161,Kurihara,2004
Echinodermata,,Spawners,Echinometra,Sea urchin,Echinometra mathaei,7.03,41,20,NA,NA,NA,8.01,-0.98,,,,,,,,Engauge Digitizer,,doi.org/10.3354/meps274161,Kurihara,2004
Echinodermata,,Spawners,Echinometra,Sea urchin,Echinometra mathaei,7.38,73,20,NA,NA,NA,8.01,-0.63,,,,,,,,Engauge Digitizer,,doi.org/10.3354/meps274161,Kurihara,2004
Echinodermata,,Spawners,Echinometra,Sea urchin,Echinometra mathaei,7.61,98,20,NA,NA,NA,8.01,-0.4,,,,,,,,Engauge Digitizer,,doi.org/10.3354/meps274161,Kurihara,2004
Echinodermata,,Spawners,Echinometra,Sea urchin,Echinometra mathaei,7.77,98,20,NA,NA,NA,8.01,-0.24,,,,,,,,Engauge Digitizer,,doi.org/10.3354/meps274161,Kurihara,2004
Echinodermata,,Spawners,Hemicentrotus,Sea urchin,Hemicentrotus pulcherrimus,6.83,47,20,NA,NA,NA,8.01,-1.18,,,,,,,,Engauge Digitizer,,doi.org/10.3354/meps274161,Kurihara,2004
Echinodermata,,Spawners,Hemicentrotus,Sea urchin,Hemicentrotus pulcherrimus,7.03,70,20,NA,NA,NA,8.01,-0.98,,,,,,,,Engauge Digitizer,,doi.org/10.3354/meps274161,Kurihara,2004
Echinodermata,,Spawners,Hemicentrotus,Sea urchin,Hemicentrotus pulcherrimus,7.38,88,20,NA,NA,NA,8.01,-0.63,,,,,,,,Engauge Digitizer,,doi.org/10.3354/meps274161,Kurihara,2004
Echinodermata,,Spawners,Hemicentrotus,Sea urchin,Hemicentrotus pulcherrimus,7.61,99,20,NA,NA,NA,8.01,-0.4,,,,,,,,Engauge Digitizer,,doi.org/10.3354/meps274161,Kurihara,2004
Echinodermata,,Spawners,Hemicentrotus,Sea urchin,Hemicentrotus pulcherrimus,7.77,99,20,NA,NA,NA,8.01,-0.24,,,,,,,,Engauge Digitizer,,doi.org/10.3354/meps274161,Kurihara,2004
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7,97,120,120,0,15,8.1,-1.1,,NA,NA,NA,3,1,,Text,"97-100% for all treatments, used conservative value in range",doi.org/10.1242/jeb.051169,Martin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.25,97,120,120,0,15,8.1,-0.85,,NA,NA,NA,3,1,,Text,"97-100% for all treatments, used conservative value in range",doi.org/10.1242/jeb.051169,Martin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.5,97,120,120,0,15,8.1,-0.6,,NA,NA,NA,3,1,,Text,"97-100% for all treatments, used conservative value in range",doi.org/10.1242/jeb.051169,Martin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.7,97,120,120,0,15,8.1,-0.4,,NA,NA,NA,3,1,,Text,"97-100% for all treatments, used conservative value in range",doi.org/10.1242/jeb.051169,Martin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.9,97,120,120,0,15,8.1,-0.2,,NA,NA,NA,3,1,,Text,"97-100% for all treatments, used conservative value in range",doi.org/10.1242/jeb.051169,Martin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,8.1,97,120,120,0,15,8.1,0,,NA,NA,NA,3,1,,Text,"97-100% for all treatments, used conservative value in range",doi.org/10.1242/jeb.051169,Martin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,6.79961,0.4,10,10,0,0,8.00374,-1.20413,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 1,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,6.80266,1.6,120,120,0,0,8,-1.19734,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 1,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,6.8029,0.6,60,60,0,0,7.99876,-1.19586,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 1,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.40082,66.5,120,120,0,0,8,-0.59918,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 1,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.4037,60.8,10,10,0,0,8.00374,-0.60004,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 1,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.40382,70.0,60,60,0,0,7.99876,-0.59494,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 1,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.6002,91.8,120,120,0,0,8,-0.3998,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 1,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.60307,90.5,60,60,0,0,7.99876,-0.39569,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 1,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.60428,90.8,10,10,0,0,8.00374,-0.39946,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 1,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.99876,99.6,60,60,0,0,7.99876,0,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 1,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,8.00374,99.6,10,10,0,0,8.00374,0,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 1,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,8.00552,99.4,120,120,0,0,8,0.00552,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 1,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,6.8,0.6,10,10,0,0,8,-1.2,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 2,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,6.8,4.5,60,60,0,0,8,-1.2,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 2,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,6.8,4.5,120,120,0,0,8,-1.2,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 2,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.4,73.4,10,10,0,0,8,-0.6,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 2,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.4,83.5,60,60,0,0,8,-0.6,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 2,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.4,80,120,120,0,0,8,-0.6,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 2,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.6,77.9,10,10,0,0,8,-0.4,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 2,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.6,90,60,60,0,0,8,-0.4,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 2,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,7.6,92.2,120,120,0,0,8,-0.4,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 2,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,8,99.9,10,10,0,0,8,0,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 2,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,8,99.4,60,60,0,0,8,0,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 2,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Paracentrotus,Sea urchin,Paracentrotus lividus,8,99.3,120,120,0,0,8,0,,NA,NA,NA,5,5,,Engauge Digitizer,Tidepool 2,https://doi.org/10.1016/j.marpolbul.2010.09.012,Moulin,2011
Echinodermata,,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.7,70.6,10,10,0,0,8.07,-0.37,,10000000,10000,NA,10,1,,Supplement,,https://doi.org/10.1098/rspb.2019.0785,Smith,2019
Echinodermata,,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.9,77,10,10,0,0,8.07,-0.17,,10000000,10000,NA,10,1,,Supplement,,https://doi.org/10.1098/rspb.2019.0785,Smith,2019
